id,name,description,image,thumbnail,flag,AI_Prompt,Country_Code,Territory/Dependency/PartOf,Region,Subregion,Sub_subregion
1,Afghanistan in 2021,"This was the sentiment in Afghanistan in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/1.png,http://assets.collectiveminds.ai/thumbnail/1.png,http://assets.collectiveminds.ai/flag/AF.svg,AR,AF,N/A,Asia,Southern Asia,N/A
2,Afghanistan in 2021,"This was the sentiment in Afghanistan in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/2.png,http://assets.collectiveminds.ai/thumbnail/2.png,http://assets.collectiveminds.ai/flag/AF.svg,A3,AF,N/A,Asia,Southern Asia,N/A
3,Afghanistan in 2021,"This was the sentiment in Afghanistan in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/3.png,http://assets.collectiveminds.ai/thumbnail/3.png,http://assets.collectiveminds.ai/flag/AF.svg,3D,AF,N/A,Asia,Southern Asia,N/A
4,Aland Islands in 2021,"This was the sentiment in Aland Islands in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/4.png,http://assets.collectiveminds.ai/thumbnail/4.png,http://assets.collectiveminds.ai/flag/AX.svg,AR,AX,Finland,Europe,Northern Europe,N/A
5,Aland Islands in 2021,"This was the sentiment in Aland Islands in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/5.png,http://assets.collectiveminds.ai/thumbnail/5.png,http://assets.collectiveminds.ai/flag/AX.svg,A3,AX,Finland,Europe,Northern Europe,N/A
6,Aland Islands in 2021,"This was the sentiment in Aland Islands in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/6.png,http://assets.collectiveminds.ai/thumbnail/6.png,http://assets.collectiveminds.ai/flag/AX.svg,3D,AX,Finland,Europe,Northern Europe,N/A
7,Albania in 2021,"This was the sentiment in Albania in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/7.png,http://assets.collectiveminds.ai/thumbnail/7.png,http://assets.collectiveminds.ai/flag/AL.svg,AR,AL,N/A,Europe,Southern Europe,N/A
8,Albania in 2021,"This was the sentiment in Albania in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/8.png,http://assets.collectiveminds.ai/thumbnail/8.png,http://assets.collectiveminds.ai/flag/AL.svg,A3,AL,N/A,Europe,Southern Europe,N/A
9,Albania in 2021,"This was the sentiment in Albania in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/9.png,http://assets.collectiveminds.ai/thumbnail/9.png,http://assets.collectiveminds.ai/flag/AL.svg,3D,AL,N/A,Europe,Southern Europe,N/A
10,Algeria in 2021,"This was the sentiment in Algeria in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/10.png,http://assets.collectiveminds.ai/thumbnail/10.png,http://assets.collectiveminds.ai/flag/DZ.svg,AR,DZ,N/A,Africa,Northern Africa,N/A
11,Algeria in 2021,"This was the sentiment in Algeria in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/11.png,http://assets.collectiveminds.ai/thumbnail/11.png,http://assets.collectiveminds.ai/flag/DZ.svg,A3,DZ,N/A,Africa,Northern Africa,N/A
12,Algeria in 2021,"This was the sentiment in Algeria in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/12.png,http://assets.collectiveminds.ai/thumbnail/12.png,http://assets.collectiveminds.ai/flag/DZ.svg,3D,DZ,N/A,Africa,Northern Africa,N/A
13,American Samoa in 2021,"This was the sentiment in American Samoa in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/13.png,http://assets.collectiveminds.ai/thumbnail/13.png,http://assets.collectiveminds.ai/flag/AS.svg,AR,AS,United States,Oceania,Polynesia,N/A
14,American Samoa in 2021,"This was the sentiment in American Samoa in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/14.png,http://assets.collectiveminds.ai/thumbnail/14.png,http://assets.collectiveminds.ai/flag/AS.svg,A3,AS,United States,Oceania,Polynesia,N/A
15,American Samoa in 2021,"This was the sentiment in American Samoa in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/15.png,http://assets.collectiveminds.ai/thumbnail/15.png,http://assets.collectiveminds.ai/flag/AS.svg,3D,AS,United States,Oceania,Polynesia,N/A
16,Andorra in 2021,"This was the sentiment in Andorra in 2021, according to state-of-the-art artificial intelligence.",http://assets.collectiveminds.ai/nft/16.png,http://assets.collectiveminds.ai/thumbnail/16.png,http://assets.collectiveminds.ai/flag/AD.svg,AR,AD,N/A,Europe,Southern Europe,N/A
